name,adress,regitration,link
GoodForecast Hack,Онлайн,Регистрация: до 17 октября,https://www.zavodit.ru/ru/calendar/event/38
Tender Hack,"Офлайн, г. Казань, ул. Николая Ершова, 1А (отель Корстон)",Регистрация: до 20 октября,https://tenderhack.ru/kazan
Atomic Hack,"Офлайн г. Москва, НИЯУ МИФИ, Каширское шоссе, 31",Регистрация: до 18 октября,https://digital.mephi.ru/atomichack
ХАКАТОН ОСЕНЬ 2023,Онлайн + офлайн (г. Ростов-на-Дону),Регистрация: до 13 октября,https://fantastic-hackathon.ru/
"Всероссийский хакатон ИИ ""Живой код""","Офлайн, Тольятти, технопарк в сфере высоких технологий ""Жигулевская долина"" ",Регистрация: 19 октября,https://hackathonia.timepad.ru/event/2597301/
Всероссийского хакатона по биометрии,Онлайн + офлайн (г. Москва),Регистрация: до 29 октября,https://biometricshack.ru/
GlowByte 2023: Data Science ,Онлайн/финал в г. Москва,Регистрация: 16 октября,https://datapeople.ru/glowbytehack2023
Хакатон от MOFL ,Онлайн,Регистрация: до 9 октября,https://t.me/mofl_start_bot
ТехноХакатон ,Онлайн + офлайн (г. Иваново),Регистрация: до 12 октября,https://technohackathon.ru/
MORЕ.Tech 5.0 ,Онлайн,Регистрация: до 10 октября,https://moretech.vtb.ru/?utm_source=pg&utm_medium=tg&utm_campaign=announce1
Хакатон в ЮФО. «Цифровой прорыв. Сезон: Искусственный интеллект»,"Онлайн+офлайн, Сочи, Россия",Регистрация: до 9 октября,https://hacks-ai.ru/hackathons.html?eventId=969082
Пространство 2023,"Офлайн, Иваново",Регистрация: до 15 сентября,https://xn--d1abbko7aiz3d.xn--p1ai/reg/
Лига Приключений,"Офлайн, г. Санкт-Петербург",Регистрация: до 12 октября,https://codenrock.com/contests/adventure-league-spb?utm_source=codenrock&utm_medium=social#/
Цифра.zone|Технологическая модернизация,"Онлайн+офлайн, Дубна",Регистрация: до 9 ноября,https://hakatonitzone.oezdubna.ru/
WHAT THE HACK 2023,Онлайн / офлайн (г. Санкт-Петербург),Регистрация: до 7 октября,https://wth.failover.bar/
Безопасный кампус,"Офлайн, кампусе ДВФУ (г. Владивосток)",Регистрация: до 15 сентября,https://forms.yandex.ru/u/64c055de90fa7bd52044c3c8/
Cyber Garden Hardware,"Офлайн, г. Таганрог, пер. Некрасовский, 44",Регистрация: до 6 октября,https://cybergarden.ru/
Baltic Alfa Hack!,"Офлайн, Калининград, БФУ им. Канта",Регистрация: до 4 октября 18:00,https://digital.alfabank.ru/alfa/balticalfahack
«Лидеры цифровой трансформации» в Краснодарском крае!,Онлайн + офлайн (Краснодарский край),Регистрация: до 3 ноября ,https://i.moscow/lct/krasnodar?utm_source=partner&utm_medium=aim&utm_campaign=skillfactory
СберПро Тех 2023,Онлайн,Регистрация: до 4 октября,https://sberbp.ru/hackathon
Лига Приключений,"Офлайн, г. Хабаровск",Регистрация: до 4 октября,https://adventure-league-scb.ru/2023
CodeChamps.Анализ данных,Онлайн,Регистрация: до 29 сентября,https://baumstorage.ru/hackathon/
DIS Group,"Онлайн/Москва, Ленинградский просп., 31А, стр. 1",Регистрация: до 20 октября:,https://facultetus.ru/activity/243962
Binary Super Resolution Challenge,Онлайн,Регистрация: до 1 октября,http://cscontest.ru/bsrc/
USETECH HACKATHON,"Офлайн, г. Москва, кластер Ломоносов, ИНТЦ МГУ «Воробьевы Горы», Раменский бульвар 1",Регистрация: до 25 сентября!,https://usetechhack.ru/
INNO GLOBAL HACK,"Офлайн, г. Иннополис, Университетская д.1",Регистрация: до 25 сентября,https://globalhack.innopolis.university/
BI-столица России,"Офлайн, г. Москва",Регистрация: до 17 сентября,https://pix.ru/events/meropriyatiya/vserossijskij-hakaton-po-biznes-analitike_msk/
DEMHACK 7,Онлайн,Регистрация: до 18 сентября,https://7.demhack.org/
RLT.Hack,"Офлайн, г. Москва, 2-й Кожуховский пр-д, 29 к. 6",Регистрация: до 27 сентября,https://uni.roseltorg.ru/intensive/hakaton-rlthack-2023?utm_source=hackaton&utm_medium=cpc&utm_campaign=hakatonrf
IT_ONE CAREER HACKATHON ,Онлайн,Регистрация: до 25 сентября,https://itonecareer.ru/hackathon
Хакатон в СФО. «Цифровой прорыв. Сезон: Искусственный интеллект»,"Онлайн+офлайн, г. Новосибирск, Россия",Регистрация: до 26 сентября,https://hacks-ai.ru/hackathons.html?eventId=969077
Kokoc Hackathon 2023,Онлайн,Регистрация: до 27 сентября,https://codenrock.com/contests/kokoc-hackathon-2023
Computational optics and imaging hackathon,Онлайн + финал офлайн (г. Санкт-Петербург),Регистрация: до 24 сентября,https://optics-hackathon.aim.club/
VTB API hackathon,"Онлайн+офлайн, г. Москва",Регистрация: до 1 октября,https://vtbapihack.ru/
Хакатон в ДВФО. «Цифровой прорыв. Сезон: Искусственный интеллект»,"Онлайн+офлайн, Владивосток, Россия",Регистрация: до 18 сентября,https://hacks-ai.ru/hackathons.html?eventId=969080
АКАДЕМИЧЕСКИЙ ТУРНИР,Онлайн / офлайн ,Регистрация: до 29 сентября,https://events.rn.digital/hack/Academic2023
Digital Exploration 2023,Онлайн,Регистрация: до 15 августа,https://digitalexploration.ru/
Хакатон «Синеус»,Онлайн+офлайн (г. Вологда),Регистрация: до 20 сентября,https://sineys.ru/
Tender Hack ,"Офлайн, г. Новосибирск, ул. Ленина, 26 (отель Domina Novosibirsk)",Регистрация: до 22 сентября,https://tenderhack.ru/nsk
NESTRO CHALLENGE 2023,Онлайн,Регистрация: до 18 сентября,https://nestro-challenge.ru/
DatsOrange,Онлайн ,Регистрация: до 14 сентября ,https://datsteam.dev/datsorange/?utm_source=hackatonarf
НА СЕВЕРЕ – КОДИТЬ!,Онлайн + офлайн (г. Мурманск),Регистрация: до 11 сентября,https://xn--80aegcbawovqtiw4l.xn--p1ai/?utm_source=site&utm_medium=card&utm_campaign=hackathonsrf
AI News Hack,Онлайн ,Регистрация: до 13 сентября,https://codenrock.com/contests/ai-news?utm_source=partners&utm_medium=social#/
Хакатон от ИнфоСофт,"Офлайн, Новосибирск - ИнфоСофт, Нижний Новгород - LAD, Омск - Сатори+ОМГТУ",Регистрация: до 20 июня,https://hackathon.is1c.ru/
IT-ы специалист,"Офлайн, Екатеринбург (Точка кипения)",Регистрация: 10 сентября,https://leader-id.ru/events/446563
КРЕАТИВНЫЙ КОММУНИКАЦИОННЫЙ ХАКАТОН,Офлайн,Регистрация: до 31 октября,https://hakaton-g8.ru/
Беспилотное будущее,"Онлайн + офлайн, Санкт-Петербург, Россия",Регистрация: до 30 сентября,https://robofinist.ru/event/956
Всероссийский хакатон. «Цифровой прорыв. Сезон: Искусственный интеллект»,"Онлайн+офлайн, г. Нижний Новгород, Россия",Регистрация: до 4 сентября,https://hacks-ai.ru/hackathons.html?eventId=969091
Татар.Бу Хакатон,"Офлайн, ИТ-парк им. Башира Рамеева (г. Казань, ул. Спартаковская, 2)",Регистрация: 5 сентября,https://kazandigitalweek.com/ru/site/events/33
School of Analytics,Онлайн+офлайн,Регистрация: до 7 сентября,https://sanalytics.education/hackathon
СтроимПросто,Онлайн,Регистрация: до 15 ноября,https://stroimprosto-msk.ru/events/hakaton-BIM/
FINOdays,Онлайн,Регистрация: до 24 июля,https://365.finopolis.ru/finodays/?utm_source=8&utm_medium=4&utm_campaign=1
Хакатон в СЗФО. «Цифровой прорыв. Сезон: Искусственный интеллект»,"Онлайн+офлайн, Санкт-Петербург, Россия",Регистрация: до 21 августа,https://hacks-ai.ru/hackathons.html?eventId=969079
Drive IT 2.0,"Офлайн, г. Москва, ул. Дубининская, 96",Регистрация: до 16 августа,https://ya-doma.ru/drivehack-2023/
Креатив на Волге,"Офлайн, Самара",Регистрация: до 4 августа,https://kreativnavolge.ru/
MENDELEEV ENGINEERING IT HACK,"Офлайн, РХТУ им. Д.И. Менделеева, Москва, Миусская пл., д. 9",Регистрация: до 14 августа,https://chemeng2030.muctr.ru/engineerhack
ТехШторм,Онлайн,Регистрация: до 17 августа,https://kazandigitalweek.com/ru/site/events/43
TechnoHack'23,"Офлайн, Новосибирск, Академгородок",Регистрация: до 20 июля ,http://technohack.nsu.ru/
IT_ONE Cup. Базы данных,Онлайн,Регистрация: до 20 августа ,https://itonecup.sk.ru/
Код города 300,"Офлайн, Технохаб Сбера в Екатеринбурге, ул. Розы Люксембург, 56а",Регистрация: до 28 июля ,https://xn--300-5cdofb9bxbcax.xn--p1ai/
Дикая жизнь Уташуда!,Онлайн,Регистрация: до 26 августа,https://talent.kruzhok.org/events/4513
ОстроVа Цифровизации,"Офлайн, о. Сахалин",Регистрация: до 1 июня,https://events.myrosmol.ru/events/ostrova2023
"Всероссийский урбанистический хакатон ""Города""",Офлайн,Регистрация: до 10 июля,https://hackathon-goroda.pro/
AI Generative Product Hackathon,Онлайн,Регистрация: до 31 июля,https://ai-hackathon.gigaschool.ru/
Знание.Игра,"Онлайн / финал офлайн (Московская область, г. Кубинка, КВЦ «Патриот»)",Регистрация: до 8 августа,https://oneup-event.timepad.ru/event/2510626/
Picture Predictor,Офлайн,Регистрация: до 31 августа,https://codenrock.com/contests/picture-predictor?utm_source=codenrock&utm_medium=social#/
Самый масштабный хакатон на юге России по треку Финтех,"г. Краснодар, ул. Северная 405, ИЦ «Аквариум»",Регистрация: до 28 июля,https://iqarium.ru/hakatontime?utm_source=lb&utm_medium
BI-столица России,"Офлайн, г. Нижний Новгород, Точка кипения - Мининский университет Нижний Новгород",Регистрация: до 28 июля,https://leader-id.ru/events/438228
Линия Кармана,Онлайн+Офлайн,Регистрация: до 9 июля,http://karman-line.ssau.ru/hack
Самый масштабный хакатон (трек «Логистика»),"Офлайн, г. Краснодар, ул. Северная 405, ИЦ «Аквариум»",Регистрация: до 14 июля,https://iqarium.ru/hakatontime
Хакатон Развития ТЭК 2023,"Офлайн, Республика Татарстан, г. Альметьевск",Регистрация: до 23 июня,https://www.ipyforum.ru/
 Mendeleev Dev Atom Hack,"Офлайн, Москва, Миусская площадь, д. 9 (РХТУ им. Д.И. Менделеева)",Регистрация: до 3 июля,https://chemeng2030.muctr.ru/devatomhack
Хакатон «Цифровизация строительства»,"Офлайн, г. Пермь, ш. Космонавтов, 111 Д (подъезд 2)",Регистрация: до 5 июля,https://permitnetwork.timepad.ru/event/2467368/
Битва роботов,Офлайн,Регистрация: до 20 апреля,https://www.gosuslugi.ru/bitvarobotov
Рекламатон,"Офлайн, г. Москва, Малый Трехсвятительский переулок 8/2с1",Регистрация: до 28 июня,https://hsecourse.ru/mtshse
 DataCon «Искусственный интеллект в химии»,Онлайн на платформе Zoom,Регистрация: до 10 июня,https://scamt.ifmo.ru/datacon/
Хакатон буше x KOTELOV,"Офлайн, г. Санкт-Петербург",Регистрация: до 22 июня,https://kotelov-online.notion.site/x-KOTELOV-17cb7416a11d46c6b5f9c197065415d7
PROFBUH HACKATHON | JUNE,Онлайн,Регистрация: до 20 июня,https://www.zavodit.ru/ru/calendar/event/27
Самый масштабный хакатон (трек «Сельское хозяйство»),"Офлайн, г. Краснодар, ул. Северная 405, ИЦ «Аквариум»",Регистрация: до 23 июня,https://iqarium.ru/hakatontime
Цифровой прорыв. Сезон: Искусственный интеллект,"Онлайн + офлайн, Екатеринбург",Регистрация: до 19 июня,https://hacks-ai.ru/hackathons.html?eventId=969074
Самый масштабный хакатон на юге России (трек «Строительство») ,"Офлайн, г. Краснодар, ул. Северная 405, ИЦ «Аквариум»",Регистрация: до 16 июня,https://iqarium.ru/hakatontime
АРКТЕК ДАТА,Онлайн / офлайн,Регистрация: до 19 июня,https://arctech.center/arctech-data/
АРКТЕК ИНЖИНИРИНГ,Онлайн / офлайн (очное участие обязательно на этапе финальной защиты проектов),Регистрация: до 8 июня,https://arctech.center/arctech-engineering/
Uralsib Hack: генеративный интеллект в банках,Онлайн,Регистрация: до 7 июня,https://uralsibhack.ru/
DataScience-соревнование,Онлайн,Регистрация: до 1 июля,https://ods.ai/competitions/nlp-receipts
НТИ Up Great «Экстренный поиск»!,"Онлайн / офлайн, г. Москва",Регистрация: до 12 июня,https://rescue.upgreat.one/?utm_source=hackathonrf&utm_medium=web
RLT.Hack,"Офлайн, г. Казань, ул. Московская, 5",Регистрация: до 1 июня,https://uni.roseltorg.ru/intensivekazan
БЛОКЧЕЙН-ХАКАТОН,Онлайн,Регистрация: до 22 июля,https://hackaton.sberlabs.com/
"Хакатон с ""Моторикой",Онлайн,Регистрация: до 29 мая,https://docs.google.com/forms/d/e/1FAIpQLSc_1etxw15vvcxac4eG-OEvaEUdJOsNjk86N1VI-zkfL77f4Q/viewform
Дизайн-цех,"Офлайн, Москва, кластер «Ломоносов» (Раменский бульвар, 1)",Регистрация: до 17 мая,https://createdin.moscow/projects/designtseh
DANO,"Офлайн, Санкт-Петербурге, ИТМО, Кронверкский пр., 49",Регистрация: до 27 мая,https://dano.hse.ru/itmo2023
Kazan Digital Transformation 2023,"Офлайн, Казань, ГАУ ""Технопарк в сфере высоких технологий «ИТ-парк»"" ",Регистрация: до 24 мая,https://kazandigitalweek.com/ru/site/events/35
Hack Revolution,"Офлайн, Технопарк (г. Обнинск)",Регистрация: до 24 мая,https://xn--40-emcadbfdgn.xn--p1ai/hackrevolution/
Hackathon Barnaul,"Офлайн, г. Барнаул, ул. Пионерская долина, 4, парк-отель «Чайка»",Регистрация: до 25 мая,https://hackathon.iteventsbrn.ru/
Билайн engineering,"Офлайн, Капсула 3 в Технопарке Сколково",Регистрация: до 30 мая,https://forms.yandex.ru/u/645e1936c417f33925bea0e2/
IT SaveHealth,"Офлайн, г. Тюмень, ул. Одесская д. 52, корпус 1",Регистрация: до 23 мая,http://iihackathonitsavehealth.tilda.ws/
OilCase,Онлайн,Регистрация: до 16 мая,https://oilcase.ru/cup/
Text Generation Detection: GPT or Human от Codenrock,Онлайн,Регистрация: до 7 июня,https://codenrock.com/contests/gpt-or-human?utm_source=codenrock&utm_medium=pos#/
Sovcombank Team Challenge 2023,Онлайн,Регистрация: до 21 мая,https://scbteamchallenge.sk.ru/
SIBUR CHALLENGE 2023 // ГЕНЕРАЛИЗАЦИЯ ,Онлайн,Регистрация: до 7 июня,https://ai-community.com/sibur-challenge-2023
Хакатон для студентов по направлениям С++ и Web-разработка: Работа с системами хранения данных,"Офлайн, Москва",Регистрация: до 18 мая,https://baumstorage.ru/hackathon/
POSITIVE HACK DAYS 12,"Офлайн, Центральный парк культуры и отдыха им. М. Горького в Москве",Регистрация: до 25 марта,https://www.phdays.com/ru/join/
BI-столица России,"Офлайн, Екатеринбург",Регистрация: до 18 мая,https://leader-id.ru/events/421240
Цифровой прорыв. Сезон: Искусственный интеллект ,"Онлайн / офлайн, Москва, Ленинградский просп., 39, стр. 79, башня А, БЦ SkyLight",Регистрация: до 16 мая,https://hacks-ai.ru/hackathons.html?eventId=969065
Амурская ItТепель – 2023,"Офлайн, АМГУ (г. Благовещенск, Игнатьевское шоссе, 21)",Регистрация: до 18 мая,https://leader-id.ru/events/426164
Лидеры цифровой трансформации ,Онлайн,Регистрация: до 21 мая,https://leaders2023.innoagency.ru/
Хакатон по созданию компьютерного зрения с Chat-GPT ,Онлайн,Регистрация: до 31 мая,https://leader-id.ru/events/431759
Demo Days 2023. Хакатон Нового физтеха ИТМО ,"Офлайн, г. Санкт-Петербург",Регистрация: до 30 апреля,https://physics.itmo.ru/ru/demodays2023
IT-хакатон,"Офлайн, Севастополь, СевГУ, ул Университетская 33, ""Точка кипения""",Регистрация: до 5 мая,http://hakaton.joy-dev.ru/
Hack the BCD 2023,"Офлайн, УЛК МГТУ им. Н.Э. Баумана",Регистрация: до 10 мая,https://t.me/hack_the_bcd_bot
UNIT.Hack,"Офлайн, Екатеринбург",Регистрация: до 11 мая,http://rhck.me/unit
Aeroclub Challenge 2023 ,Онлайн,Регистрация: до 10 мая,https://codenrock.com/contests/aeroclub-challenge-2023/?utm_source=partner&utm_medium=pos#/
Samokat.tech Hack Days ,"Офлайн, Томск, «It Space» пр-т Фрунзе 103, БЦ «Красное Знамя», 5 этаж, правое крыло",Регистрация: до 11 мая,https://docs.google.com/forms/d/e/1FAIpQLSe6wuVEA83LPPvizA9FwhT1InzohHy21k15hVBic3M9M8lUwg/viewform
Нейростарт 2023 ,"Офлайн, Владивосток, поселок Аякс, д. 10, к. а, ФГАОУ ВО ""Дальневосточный федеральный университет""",Регистрация: до 9 мая,https://leader-id.ru/events/425261
КибХак ,"Онлайн / офлайн, г. Москва, РТУ МИРЭА",Регистрация: до 10 мая,https://docs.google.com/forms/d/e/1FAIpQLSc-mcdZjr0Y_hPcPsOdF1NUI5U3gx4LBI60tlDlkH3cxoWUUQ/viewform
Global AI Challenge ,Онлайн,Регистрация: до 22 мая,https://globalai.innopolis.university/
ЕДА БУДУЩЕГО,Онлайн,Регистрация: до 5 мая,https://i.moscow/foodtech2023
CityHeroes,"Офлайн, Омск в Точка кипения (Маршала Жукова, д. 21)",Регистрация: до 5 мая,https://leader-id.ru/events/401338
Хакатон от SkyNet,"Офлайн, СПбГЭТУ «ЛЭТИ» холл 5го корпуса, коворкинг 1, зал видеоконференции",Регистрация: до 3 мая,https://docs.google.com/forms/d/e/1FAIpQLSdEULzx8Be519BvI40xbACFY2-_9m0E65U6bJjpCpT5V13QpA/viewform
Новатор Москвы 2023 ,Онлайн / офлайн,Регистрация: до 1 мая,https://i.moscow/novator
Мираторг ,Онлайн / офлайн,Регистрация: до 30 апреля,https://miratorg.tilda.ws/case-championship
Цифровая фармакология: предсказательное моделирование ,Онлайн ,Регистрация: до 25 апреля,https://digital-pharmacology.aim.club/auth/signin
TulaHack 2023 ,"Онлайн / офлайн, ТИК «Октава», г.Тула, Центральный переулок, 18",Регистрация: до 25 апреля,https://docs.google.com/forms/d/e/1FAIpQLSc5MXxF8PuAKeb9q65brSzcOTViaa_YHXYKmjd63xsdxLW1Jg/viewform
Кибер 102 ,"Офлайн, г. Стерлитамак",Регистрация: до 30 марта,https://toltekplus.ru/event/roboprom/2023
Международный день интернета ,"Офлайн, г. Воронеж",Регистрация: до 17 апреля,http://xn--80ahdaaq8abb3aue6j.xn--p1ai/
FoodHack 2023 ,"Офлайн, Красноярск",Регистрация: до 24 апреля 20:00,https://forms.yandex.ru/u/64357f456938720581bf161a/
Битва тITанов ,"Офлайн, Москва, Образцова 9с2",Регистрация: до 20 апреля,https://rut.digital/bitvatitanov
Nuclear IT hack ,"Офлайн, г. Москва",Регистрация: до 23 апреля,https://nuclearhack.mephi.ru/
Applied Al Challenge ,Онлайн,Регистрация: до 24 апреля ,https://hack.actcognitive.org/
BEST Hack,Онлайн / офлайн,Регистрация: до 22 апреля,https://forms.yandex.ru/u/6424873602848f049d88c72e/
Чемпионат Оренбургской области по спортивному программированию и робототехнике,"Офлайн, г. Оренбург, СК «Олимпийский», ул. Новая, д. 17",Регистрация: до 14 апреля,https://it.orb.ru/itsport
Когнитивная эргономика и критическое инженерное мышление с применением БпЛА,"Офлайн, Точка кипения, ГУАП Санкт-Петербург",Регистрация: до 18 апреля,https://leader-id.ru/events/415787
SoC Design Challenge,"Офлайн, Зеленоград, Москва, пл. Шокина, 1, НИУ МИЭТ",Регистрация: до 10 апреля,https://engineer.yadro.com/soc-design-challenge/
GoldCode,"Офлайн, г. Красноярск, пр. Свободный, 75 (КРИТБИ)",Регистрация: до 17 апреля,http://goldcode.tilda.ws/
Самый масштабный хакатон на юге России,"Офлайн, г. Краснодар, Северная 405, ИЦ Аквариум",Регистрация: до 21 апреля,https://iqarium.ru/hakatontime?utm_source=lb&utm_medium=site&utm_campaign=www.%D1%85%D0%B0%D0%BA%D0%B0%D1%82%D0%BE%D0%BD%D1%8B.%D1%80%D1%84%2F
DatsArt Space,Онлайн,Регистрация: до 20 апреля,https://datsteam.dev/datspace/
Дизайн-мышление в пациентоцентричной медицине ,"Офлайн, Санкт-Петербург, Точка Кипения - Центр Алмазова",Регистрация: до 18 апреля,http://hackathon-transmed.tilda.ws/
